status,file_path,amir_hash,server_hash
ONLY_IN_SERVER,app/admin/assets/fonts/Roboto-Regular.woff2,,90bbe308
ONLY_IN_SERVER,app/admin/assets/fonts/bootstrap-icons.woff,,19e80e66
ONLY_IN_SERVER,app/admin/assets/fonts/bootstrap-icons.woff2,,cc002b64
ONLY_IN_SERVER,app/admin/assets/fonts/fa-brands-400.eot,,c719f437
ONLY_IN_SERVER,app/admin/assets/fonts/fa-brands-400.svg,,69a0ff79
ONLY_IN_SERVER,app/admin/assets/fonts/fa-brands-400.ttf,,9b49c6c5
ONLY_IN_SERVER,app/admin/assets/fonts/fa-brands-400.woff,,a42ac4a9
ONLY_IN_SERVER,app/admin/assets/fonts/fa-brands-400.woff2,,f726c427
ONLY_IN_SERVER,app/admin/assets/fonts/fa-regular-400.eot,,2baa9a8a
ONLY_IN_SERVER,app/admin/assets/fonts/fa-regular-400.svg,,c41a6881
ONLY_IN_SERVER,app/admin/assets/fonts/fa-regular-400.ttf,,d64e5898
ONLY_IN_SERVER,app/admin/assets/fonts/fa-regular-400.woff,,26afc29d
ONLY_IN_SERVER,app/admin/assets/fonts/fa-regular-400.woff2,,fb964846
ONLY_IN_SERVER,app/admin/assets/fonts/fa-solid-900.eot,,c39b89f7
ONLY_IN_SERVER,app/admin/assets/fonts/fa-solid-900.svg,,36de6a29
ONLY_IN_SERVER,app/admin/assets/fonts/fa-solid-900.ttf,,d537bf4c
ONLY_IN_SERVER,app/admin/assets/fonts/fa-solid-900.woff,,3b86a0ce
ONLY_IN_SERVER,app/admin/assets/fonts/fa-solid-900.woff2,,9b592048
ONLY_IN_SERVER,app/admin/assets/fonts/summernote.eot,,376dd416
ONLY_IN_SERVER,app/admin/assets/fonts/summernote.ttf,,daa28ba6
ONLY_IN_SERVER,app/admin/assets/fonts/summernote.woff,,2a840895
ONLY_IN_SERVER,app/admin/assets/fonts/summernote.woff2,,e4208323
ONLY_IN_SERVER,app/admin/assets/fonts/themify.eot,,df12a094
ONLY_IN_SERVER,app/admin/assets/fonts/themify.svg,,f5af112f
ONLY_IN_SERVER,app/admin/assets/fonts/themify.ttf,,5bb1fe69
ONLY_IN_SERVER,app/admin/assets/fonts/themify.woff,,9394f35b
ONLY_IN_SERVER,app/admin/assets/fonts/tinymce-mobile.woff,,ad327e8b
ONLY_IN_SERVER,app/admin/assets/images/favicon.svg,,92a56aba
ONLY_IN_SERVER,app/admin/assets/js/admin.js,,47dce26a
ONLY_IN_SERVER,app/admin/assets/js/bundle.js,,d219e8c6
ONLY_IN_SERVER,app/admin/assets/js/charts/chart-crm.js,,8f4bae6b
ONLY_IN_SERVER,app/admin/assets/js/ratings.js,,ffd44210
ONLY_IN_SERVER,app/admin/assets/js/scripts.js,,6c292c68
ONLY_IN_SERVER,app/admin/assets/js/translationseditor.js,,15dc5189
ONLY_IN_SERVER,app/admin/assets/js/updates.js,,8faff295
ONLY_IN_SERVER,app/admin/assets/package-lock.json,,3997d5d7
ONLY_IN_SERVER,app/admin/assets/package.json,,31fa7d2e
ONLY_IN_SERVER,app/admin/assets/src/js/app.js,,98e258d9
ONLY_IN_SERVER,app/admin/assets/src/js/flashmessage.js,,dbd2688f
ONLY_IN_SERVER,app/admin/assets/src/js/loader.bar.js,,9ae0144f
ONLY_IN_SERVER,app/admin/assets/src/js/loader.progress.js,,8810d745
ONLY_IN_SERVER,app/admin/assets/src/js/request.js,,6c777b71
ONLY_IN_SERVER,app/admin/assets/src/js/selectlist.js,,184324a8
ONLY_IN_SERVER,app/admin/assets/src/js/toggler.js,,ae3ea234
ONLY_IN_SERVER,app/admin/assets/src/js/trigger.js,,7534c71e
ONLY_IN_SERVER,app/admin/assets/src/scss/admin.scss,,b6ea572a
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_+import-components.scss,,419c2140
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_accordion.scss,,585b52ea
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_alert.scss,,0ab1bd3e
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_button-group.scss,,19d7999e
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_buttons.scss,,068525b0
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_cards.scss,,63305489
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_dropdown.scss,,004e25f9
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_filterpanel.scss,,52fc74c5
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_footer.scss,,201182a6
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_forms.scss,,b77e934b
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_icons.scss,,d7945ccd
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_input-group.scss,,ea833a32
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_layout.scss,,d5191912
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_loader.scss,,ccb0e426
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_login.scss,,ddd4c5e0
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_logos.scss,,095a63f0
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_mainmenu.scss,,2661f69e
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_markdown.scss,,2859af2e
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_marketplace.scss,,86ff469c
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_media.scss,,b3052916
ONLY_IN_SERVER,app/admin/assets/src/scss/components/_message.scss,,f58a0709
